,Algorithm,$|\hat{\mathrm{MMD}}^2|$,num_samples,n,Rounds
134,LCG,0.000281,100000,1000,20
135,LCG,0.000281,100000,1000,21
136,LCG,0.000281,100000,1000,22
137,LCG,0.000281,100000,1000,23
138,VarPhilox,0.668384,100000,5,1
139,VarPhilox,0.055069,100000,5,2
140,VarPhilox,0.091942,100000,5,3
141,VarPhilox,0.090229,100000,5,4
142,VarPhilox,0.022291,100000,5,5
143,VarPhilox,0.005781,100000,5,6
144,VarPhilox,0.004195,100000,5,7
145,VarPhilox,0.003504,100000,5,8
146,VarPhilox,0.001728,100000,5,9
147,VarPhilox,0.001084,100000,5,10
148,VarPhilox,0.000146,100000,5,11
149,VarPhilox,0.001489,100000,5,12
150,VarPhilox,5.1e-05,100000,5,13
151,VarPhilox,0.00121,100000,5,14
152,VarPhilox,0.000886,100000,5,15
153,VarPhilox,0.001622,100000,5,16
154,VarPhilox,0.000348,100000,5,17
155,VarPhilox,0.000466,100000,5,18
156,VarPhilox,0.000194,100000,5,19
157,VarPhilox,0.001103,100000,5,20
158,VarPhilox,0.000562,100000,5,21
159,VarPhilox,9.4e-05,100000,5,22
160,VarPhilox,0.001244,100000,5,23
161,VarPhilox,0.000888,100000,5,24
162,VarPhilox,0.794902,100000,100,1
163,VarPhilox,0.150507,100000,100,2
164,VarPhilox,0.022509,100000,100,3
165,VarPhilox,0.006464,100000,100,4
166,VarPhilox,0.001441,100000,100,5
167,VarPhilox,0.000683,100000,100,6
168,VarPhilox,0.000288,100000,100,7
169,VarPhilox,0.000163,100000,100,8
170,VarPhilox,3.9e-05,100000,100,9
171,VarPhilox,7.2e-05,100000,100,10
172,VarPhilox,0.000153,100000,100,11
173,VarPhilox,6e-06,100000,100,12
174,VarPhilox,5.2e-05,100000,100,13
175,VarPhilox,9e-05,100000,100,14
176,VarPhilox,7.5e-05,100000,100,15
177,VarPhilox,0.000108,100000,100,16
178,VarPhilox,4.1e-05,100000,100,17
179,VarPhilox,2.7e-05,100000,100,18
180,VarPhilox,4.8e-05,100000,100,19
181,VarPhilox,5.5e-05,100000,100,20
182,VarPhilox,6.7e-05,100000,100,21
183,VarPhilox,2.7e-05,100000,100,22
184,VarPhilox,1.6e-05,100000,100,23
185,VarPhilox,2.2e-05,100000,100,24
186,VarPhilox,0.845929,100000,1000,1
187,VarPhilox,0.026873,100000,1000,2
188,VarPhilox,0.001495,100000,1000,3
189,VarPhilox,5.7e-05,100000,1000,4
190,VarPhilox,2.2e-05,100000,1000,5
191,VarPhilox,8e-06,100000,1000,6
192,VarPhilox,1.4e-05,100000,1000,7
193,VarPhilox,1.6e-05,100000,1000,8
194,VarPhilox,1e-05,100000,1000,9
195,VarPhilox,1.8e-05,100000,1000,10
196,VarPhilox,1.6e-05,100000,1000,11
197,VarPhilox,9e-06,100000,1000,12
198,VarPhilox,1.8e-05,100000,1000,13
199,VarPhilox,2e-06,100000,1000,14
200,VarPhilox,6e-06,100000,1000,15
201,VarPhilox,2.3e-05,100000,1000,16
202,VarPhilox,1.9e-05,100000,1000,17
203,VarPhilox,8e-06,100000,1000,18
204,VarPhilox,3e-06,100000,1000,19
205,VarPhilox,2.5e-05,100000,1000,20
206,VarPhilox,4e-06,100000,1000,21
207,VarPhilox,3.2e-05,100000,1000,22
208,VarPhilox,1e-05,100000,1000,23
209,VarPhilox,5e-06,100000,1000,24
